Brand,Model,Year,Price,EngineSize,Gear,Mileage,FuelType,Doors,Description
Audi,A1 35 TFSI S Line 5dr S Tronic,2021,"Â£20,495",1.5 L,Semiauto,"21,960",Petrol,5,Audi A1 35 TFSI S Line 5dr S Tronic 2021 1.5 L Petrol Semiauto 5
Audi,A3 35 TFSI Sport 5dr S Tronic,2021,"Â£21,250",1.5 L,Semiauto,"18,408",Petrol,5,Audi A3 35 TFSI Sport 5dr S Tronic 2021 1.5 L Petrol Semiauto 5
Audi,Q2 35 TFSI Sport 5dr S Tronic,2021,"Â£21,900",1.5 L,Semiauto,"15,207",Petrol,5,Audi Q2 35 TFSI Sport 5dr S Tronic 2021 1.5 L Petrol Semiauto 5
Audi,A1 30 TFSI S Line 5dr S Tronic,2021,"Â£21,995",1.0 L,Semiauto,"5,967",Petrol,5,Audi A1 30 TFSI S Line 5dr S Tronic 2021 1.0 L Petrol Semiauto 5
Audi,A3 35 TFSI S line 5dr S Tronic,2021,"Â£22,795",1.5 L,Semiauto,"44,000",Petrol,5,Audi A3 35 TFSI S line 5dr S Tronic 2021 1.5 L Petrol Semiauto 5
Audi,Q2 35 TFSI Sport 5dr S Tronic,2022,"Â£23,795",1.5 L,Semiauto,"12,961",Petrol,5,Audi Q2 35 TFSI Sport 5dr S Tronic 2022 1.5 L Petrol Semiauto 5
Audi,A4 35 TFSI S Line 4dr S Tronic,2023,"Â£24,595",2.0 L,Semiauto,"11,470",Petrol,4,Audi A4 35 TFSI S Line 4dr S Tronic 2023 2.0 L Petrol Semiauto 4
Audi,Q2 35 TFSI S Line 5dr S Tronic,2021,"Â£24,650",1.5 L,Semiauto,"6,291",Petrol,5,Audi Q2 35 TFSI S Line 5dr S Tronic 2021 1.5 L Petrol Semiauto 5
Audi,Q5 45 TFSI Quattro S Line 5dr S Tronic,2019,"Â£24,850",2.0 L,Semiauto,"31,254",Petrol,5,Audi Q5 45 TFSI Quattro S Line 5dr S Tronic 2019 2.0 L Petrol Semiauto 5
Audi,A1 30 TFSI 110 S Line 5dr S Tronic,2024,"Â£25,050",1.0 L,Semiauto,"4,000",Petrol,5,Audi A1 30 TFSI 110 S Line 5dr S Tronic 2024 1.0 L Petrol Semiauto 5
