"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description","Car Age","Price per Mile","Engine Efficiency(mile/ltr)"
"Honda","CR-V 2.0 ePHEV Advance Tech 5dr eCVT",2024,40000,2,"Automatic",2799,"Hybrid",5,"Honda CR-V 2.0 ePHEV Advance Tech 5dr eCVT 2.0  Automatic Hybrid 5 2024",1,14.29,1399.5
"Honda","CR-V 2.0 eHEV Advance 5dr eCVT",2024,41500,2,"Automatic",2000,"Hybrid",5,"Honda CR-V 2.0 eHEV Advance 5dr eCVT 2.0  Automatic Hybrid 5 2024",1,20.75,1000
"Honda","CR-V 2.0 ePHEV Advance Tech 5dr eCVT",2024,42900,2,"Automatic",4000,"Hybrid",5,"Honda CR-V 2.0 ePHEV Advance Tech 5dr eCVT 2.0  Automatic Hybrid 5 2024",1,10.72,2000
"Kia","Venga 1.6 4 5dr Auto [6]",2017,11199,1.6,"Automatic",20432,"Petrol",5,"Kia Venga 1.6 4 5dr Auto [6] 1.6  Automatic Petrol 5 2017",8,0.55,12770
"Kia","Ceed 1.0T GDi ISG 3 5dr",2019,11399,1,"Manual",41109,"Petrol",5,"Kia Ceed 1.0T GDi ISG 3 5dr 1.0  Manual Petrol 5 2019",6,0.28,41109
"Kia","Niro 1.6 GDi Hybrid First Edition 5dr DCT",2017,11999,1.6,"Automatic",75129,"Hybrid",5,"Kia Niro 1.6 GDi Hybrid First Edition 5dr DCT 1.6  Automatic Hybrid 5 2017",8,0.16,46955.62
"Kia","Sportage 1.6 GDi ISG 2 5dr",2019,12749,1.6,"Manual",47158,"Petrol",5,"Kia Sportage 1.6 GDi ISG 2 5dr 1.6  Manual Petrol 5 2019",6,0.27,29473.75
"Kia","Stonic 1.0T GDi 99 2 5dr",2021,12899,1,"Manual",26885,"Petrol",5,"Kia Stonic 1.0T GDi 99 2 5dr 1.0  Manual Petrol 5 2021",4,0.48,26885
"Kia","Sportage 1.6T Gdi Gt-Line 5Dr Dct Auto [Awd]",2017,13749,1.6,"Automatic",52327,"Petrol",5,"Kia Sportage 1.6T Gdi Gt-Line 5Dr Dct Auto [Awd] 1.6  Automatic Petrol 5 2017",8,0.26,32704.38
"Kia","Sportage 1.6 GDi ISG 2 5dr",2018,14200,1.6,"Manual",26772,"Petrol",5,"Kia Sportage 1.6 GDi ISG 2 5dr 1.6  Manual Petrol 5 2018",7,0.53,16732.5
"Ford","Fiesta 1.0 EcoBoost Titanium 5dr",2023,14250,1,"Manual",9003,"Petrol",5,"Ford Fiesta 1.0 EcoBoost Titanium 5dr 1.0  Manual Petrol 5 2023",2,1.58,9003
"Kia","Sportage 1.6T GDi ISG GT-Line 5dr",2020,15990,1.6,"Manual",33116,"Petrol",5,"Kia Sportage 1.6T GDi ISG GT-Line 5dr 1.6  Manual Petrol 5 2020",5,0.48,20697.5
"Kia","Niro 1.6 GDi Hybrid 4 5dr DCT",2019,16649,1.6,"Automatic",48590,"Hybrid",5,"Kia Niro 1.6 GDi Hybrid 4 5dr DCT 1.6  Automatic Hybrid 5 2019",6,0.34,30368.75
"Kia","Stonic 1.0T GDi 99 2 5dr DCT",2024,18199,1,"Automatic",8813,"Petrol",5,"Kia Stonic 1.0T GDi 99 2 5dr DCT 1.0  Automatic Petrol 5 2024",1,2.07,8813
"Kia","Sportage 1.6 GDi ISG 3 5dr",2020,18749,1.6,"Manual",14347,"Petrol",5,"Kia Sportage 1.6 GDi ISG 3 5dr 1.6  Manual Petrol 5 2020",5,1.31,8966.88
"Kia","Niro 1.6 GDi PHEV 3 5dr DCT",2020,18999,1.6,"Automatic",18995,"Hybrid",5,"Kia Niro 1.6 GDi PHEV 3 5dr DCT 1.6  Automatic Hybrid 5 2020",5,1,11871.88
"Kia","Niro 1.6 GDi Hybrid 2 5dr DCT",2022,19299,1.6,"Automatic",8309,"Hybrid",5,"Kia Niro 1.6 GDi Hybrid 2 5dr DCT 1.6  Automatic Hybrid 5 2022",3,2.32,5193.12
"Kia","Sportage 1.6T GDi ISG 2 5dr",2022,19499,1.6,"Manual",23636,"Petrol",5,"Kia Sportage 1.6T GDi ISG 2 5dr 1.6  Manual Petrol 5 2022",3,0.82,14772.5
