"Brand","Model","Year","Price","EngineSize","Gear","Mileage","FuelType","Doors","Description"
"Volvo","V90 2.0 B4P Momentum 5dr Auto","2021","£26,630",2,"Automatic","19,595 miles","-","5 Door","2021 Volvo V90 Estate"
"Ford","Fiesta 1.1 Zetec 5dr","2018","£8,495",1.1,"Manual","46,389 miles","Petrol","5 Door","2018 Ford Fiesta Hatchback"
"Vauxhall","Corsa e 100kW SRi Premium 50kWh 5dr Auto [11kWCh]","2021","£10,911",NA,"Automatic","21,816 miles","-","5 Door","2021 Vauxhall Corsa e Hatchback"
"Ford","Ranger Pick Up Double Cab Wildtrak 2.0 EcoBlue 213 Auto","2021","£27,870",2,"Automatic","37,893 miles","Diesel","-","2021 Ford Ranger Van"
"Land","Rover DISCOVERY SPORT 2.0 TD4 SE 5d 150 BHP","2015","£10,990",2,"Manual","81,769 miles","Diesel","5 Door","2015 Land Rover DISCOVERY SPORT Estate"
"Skoda","Scala 1.5 TSI Monte Carlo 5dr DSG","2024","£23,970",1.5,"Automatic","7,500 miles","Petrol","5 Door","2024 Skoda Scala Hatchback"
"Audi","Q7 55 TFSI Quattro Black Edition 5dr Tiptronic","2023","£52,295",3,"Automatic","9,814 miles","Petrol","5 Door","2023 Audi Q7 SUV"
"Nissan","Juke 1.0 DiG-T 114 N-Connecta 5dr","2024","£17,475",1,"Manual","4,679 miles","Petrol","5 Door","2024 Nissan Juke SUV"
"Volvo","XC40 2.0 B3P Plus Dark 5dr Auto","2024","£31,340",2,"Automatic","17,898 miles","-","5 Door","2024 Volvo XC40 SUV"
"Ford","FOCUS 2.0 ST-2 TDCI 5d 183 BHP","2015","£10,990",2,"Manual","112,180 miles","Diesel","5 Door","2015 Ford FOCUS Hatchback"
"Kia","Niro 1.6 GDi PHEV 3 5dr DCT","2018","£11,943",1.6,"Automatic","67,506 miles","-","5 Door","2018 Kia Niro SUV"
"Skoda","Kodiaq 2.0 TDI SE Drive 4x4 5dr DSG [7 Seat]","2023","£30,490",2,"Automatic","10,199 miles","Diesel","5 Door","2023 Skoda Kodiaq SUV"
"Volkswagen","Touareg 3.0 V6 TDI 4Motion R-Line Tech 5dr Tip Auto","2020","£63,491",2,"Automatic","12,089 miles","Diesel","5 Door","2020 Volkswagen Touareg SUV"
"Skoda","Octavia 1.5 TSI 150 e-TEC Sportline 5dr DSG","2024","£26,900",1.5,"Automatic","9,231 miles","-","5 Door","2024 Skoda Octavia Hatchback"
"Peugeot","3008 1.6 Hybrid 180 Active 5dr e-EAT8","2024","£23,800",1.6,"Automatic","25 miles","-","5 Door","2024 Peugeot 3008 SUV"
